"filename", "language", "Dart", "comment", "blank", "total"
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/home/models/movie_genre_model.dart", "Dart", 14, 0, 3, 17
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/home/models/movie_model.dart", "Dart", 43, 0, 4, 47
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/home/models/series_genre_model.dart", "Dart", 14, 0, 3, 17
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/home/models/series_model.dart", "Dart", 40, 0, 4, 44
"Total", "-", 111, 0, 14, 125
